epoch_no,time_run,batch_size_per_replica,optimizer
1,3.645350218,4,Adam
2,3.237523317,4,Adam
3,3.231053829,4,Adam
4,3.215312958,4,Adam
5,3.220935822,4,Adam
6,3.23224473,4,Adam
7,3.229262352,4,Adam
8,3.223005772,4,Adam
9,3.22466445,4,Adam
10,3.226466656,4,Adam
Total_time,32.9704771,4,Adam
1,3.322778225,8,Adam
2,2.857589245,8,Adam
3,2.854577541,8,Adam
4,2.857998848,8,Adam
5,2.85303092,8,Adam
6,2.865345955,8,Adam
7,2.867536783,8,Adam
8,2.855029821,8,Adam
9,2.861572266,8,Adam
10,2.86382246,8,Adam
Total_time,29.35414433,8,Adam
1,3.166038752,12,Adam
2,2.679627895,12,Adam
3,2.675199747,12,Adam
4,2.680370331,12,Adam
5,2.699998856,12,Adam
6,2.691679716,12,Adam
7,2.675377369,12,Adam
8,2.690251827,12,Adam
9,2.667996168,12,Adam
10,2.659747601,12,Adam
Total_time,27.57766199,12,Adam
1,2.904943228,16,Adam
2,2.386681557,16,Adam
3,2.377477169,16,Adam
4,2.377019167,16,Adam
5,2.451463223,16,Adam
6,2.353198528,16,Adam
7,2.369108915,16,Adam
8,2.359390736,16,Adam
9,2.381963491,16,Adam
10,2.353652716,16,Adam
Total_time,24.60832381,16,Adam
1,3.148710728,20,Adam
2,2.63141799,20,Adam
3,2.6574049,20,Adam
4,2.632061243,20,Adam
5,2.670435667,20,Adam
6,2.644439459,20,Adam
7,2.660088301,20,Adam
8,2.638705254,20,Adam
9,2.623708248,20,Adam
10,2.609913111,20,Adam
Total_time,27.2069242,20,Adam
1,3.073764801,24,Adam
2,2.529307365,24,Adam
3,2.526005745,24,Adam
4,2.549248457,24,Adam
5,2.551181793,24,Adam
6,2.553822517,24,Adam
7,2.536506414,24,Adam
8,2.532858133,24,Adam
9,2.53595376,24,Adam
10,2.508829594,24,Adam
Total_time,26.19081259,24,Adam
1,3.305544376,28,Adam
2,2.474117517,28,Adam
3,2.43428731,28,Adam
